Player,2018,2019,2020,2021,2022,2023,2024,2025,Total
910⁠,0,0,0,0,0,0,1,0,1
Aerial,0,1,0,0,0,0,0,0,1
Ax1Le,0,0,0,2,1,0,0,0,3
Brehze,1,1,1,0,0,0,0,0,3
Brollan,0,0,1,0,0,0,0,0,1
Bubzkji,0,1,0,0,0,0,0,0,1
CeRq,1,0,1,0,0,0,0,0,2
EliGE,0,3,1,0,0,0,0,0,4
EspiranTo,1,0,0,0,0,0,0,0,1
Ethan,0,1,1,0,0,0,0,0,2
FaNg,0,0,0,1,0,0,0,0,1
FalleN,1,0,0,0,0,0,0,0,1
GuardiaN,1,1,0,0,0,0,0,0,2
HEN1,0,0,1,0,0,0,0,0,1
Hobbit,0,0,0,2,0,0,0,0,2
ISSAA,1,0,0,0,0,0,0,0,1
Jame,0,1,0,1,1,0,0,0,3
KRIMZ,1,0,0,0,0,0,0,0,1
MSL,1,0,0,0,0,0,0,0,1
Magisk,1,1,0,0,0,0,0,0,2
NAF,2,2,0,0,0,0,0,0,4
NiKo,2,2,1,0,0,1,0,1,7
SHiPZ,0,1,0,0,0,0,0,0,1
SunPayus,0,0,0,0,0,1,0,0,1
Twistzz,1,1,0,0,0,0,0,0,2
XANTARES,0,0,1,0,0,0,0,0,1
ZywOo,0,5,6,1,1,5,2,5,25
b1t,0,0,0,0,0,0,1,0,1
blameF,0,0,0,0,1,0,0,0,1
broky,0,0,0,0,2,0,1,0,3
degster,0,0,0,0,0,0,0,1,1
device,7,3,3,1,0,0,0,0,14
donk,0,0,0,0,0,1,5,1,7
dupreeh,1,1,0,0,0,0,0,0,2
electronic,0,0,1,0,0,0,0,0,1
fame,0,0,0,0,0,1,0,0,1
flusha,1,0,0,0,0,0,0,0,1
frozen,0,0,0,1,0,0,0,0,1
gla1ve,0,1,0,0,0,0,0,0,1
huNter-,0,1,0,0,0,1,0,0,2
iM,0,0,0,0,0,0,1,0,1
jL,0,0,0,0,0,0,2,0,2
jabbi,0,0,0,0,0,1,0,0,1
m0NESY,0,0,0,0,1,0,3,0,4
nawwk,0,0,0,0,0,1,0,0,1
oskar,1,0,0,0,0,0,0,0,1
rain,0,0,0,0,1,1,0,0,2
ropz,0,1,0,0,1,3,0,0,5
s1mple,6,1,2,8,2,0,0,0,19
sdy,0,0,0,0,0,1,0,0,1
sergej,1,0,0,0,0,0,0,0,1
sh1ro,0,0,0,3,1,0,0,0,4
syrsoN,0,0,1,0,1,0,0,0,2
tarik,1,0,0,0,0,0,0,0,1
torzsi,0,0,0,0,0,1,0,0,1
valde,1,0,1,0,0,0,0,0,2
woxic,0,1,0,0,0,0,0,0,1
yuurih,0,0,3,0,0,0,0,0,3
